Topic,Description
Security Analysis,"Mentions detection and evaluation of microarchitectural attacks (evasive Spectre), side-channel behaviors, and security monitoring using hardware performance counters."
Machine Learning for Security,"Uses ML models (e.g., Random Forest, MLP, RNN) and evaluation metrics (ROC/AUC) to detect security attacks and analyze robustness under workload noise."
Hardware Security,"Focuses on CPU/GPU microarchitecture behavior (speculative execution, cache/branch events), hardware performance counters, and architecture-dependent effects on attack detection."
Anomaly Detection,Applies statistical/ML-based techniques to distinguish attack vs. non-attack behavior in system telemetry (HPC time series and derived rates).
Workload Characterization,"Analyzes how different workload types (text, image, code tasks) and resource utilization affect system signals and detection performance."
Code Generation,"Mentions automated generation of code-related artifacts, including code summarization using LLMs."
Empirical Software Engineering,"Focuses on human-subject studies, annotation tasks, datasets, and evaluation methodology (e.g., inter-rater agreement) for assessing software engineering tools and artifacts."
Program Repair,"Focuses on automated refactoring/repair-style recommendations to fix issues (here, performance faults due to lock contention)."
Sustainable Software Engineering,"Focus on energy consumption, energy efficiency, and environmental impact (carbon footprint) of software and especially generated code across platforms/languages."
Multimodal Software Engineering,"Software engineering tasks and benchmarks that require combining code/text with visual inputs (images/videos, screenshots, diagrams) for debugging and validation."
Program Optimization,"Covers methods for improving program performance while preserving correctness (e.g., compiler-inspired passes, atomic edits, beam search optimization)."
Machine Learning,"Methods for training and improving model behavior, including probabilistic modeling, reinforcement learning, and optimization for reasoning."
Natural Language Processing,"Language-model prompting, chain-of-thought/rationale generation, and post-training methods to improve LLM reasoning."
Reinforcement Learning,"RL/RLHF-style optimization (e.g., PPO, reward shaping) used to learn or refine policies for generating rationales and answers."
